System,Specification,NodesExplored,NumRepairs,MinNumVariables,MaxNumVariables,MinNumAssumptions,MaxNumAssumptions,Repaired
Humanoid,HumanoidLTL_556_Humanoid_1,1,1,15,15,1.0,1.0,True
Humanoid,HumanoidLTL_556_Humanoid_2,1,1,14,14,1.0,1.0,True
Humanoid,HumanoidLTL_743_Humanoid_1,1,1,12,12,1.0,1.0,True
Humanoid,HumanoidLTL_743_Humanoid_2,1,1,12,12,1.0,1.0,True
Humanoid,HumanoidLTL_747_Humanoid_1,1,1,2,2,1.0,1.0,True
Humanoid,HumanoidLTL_747_Humanoid_2,1,1,12,12,1.0,1.0,True
Humanoid,HumanoidLTL_747_Humanoid_3,1,1,12,12,1.0,1.0,True
Humanoid,HumanoidLTL_750_Humanoid_1,1,1,3,3,1.0,1.0,True
Humanoid,HumanoidLTL_750_Humanoid_2,1,1,12,12,1.0,1.0,True
Humanoid,HumanoidLTL_776_Humanoid_1,1,1,1,1,1.0,1.0,True
Humanoid,HumanoidLTL_776_Humanoid_2,1,1,20,20,1.0,1.0,True
Humanoid,HumanoidLTL_776_Humanoid_3,1,1,19,19,1.0,1.0,True
Humanoid,HumanoidLTL_776_Humanoid_4,1,1,15,15,1.0,1.0,True
Humanoid,HumanoidLTL_776_Humanoid_5,0,0,0,0,0.0,0.0,False
Humanoid,HumanoidLTL_874_Humanoid_1,1,1,1,1,1.0,1.0,True
Humanoid,HumanoidLTL_874_Humanoid_2,1,1,20,20,1.0,1.0,True
Humanoid,HumanoidLTL_874_Humanoid_3,1,1,19,19,1.0,1.0,True
Humanoid,HumanoidLTL_874_Humanoid_4,1,1,15,15,1.0,1.0,True
Humanoid,HumanoidLTL_874_Humanoid_5,0,0,0,0,0.0,0.0,False
PCar,PCarLTL_Unrealizable_V_20_882_PCar_fixed_1,1,1,13,13,1.0,1.0,True
PCar,PCarLTL_V_10_866_PCar_fixed_1,0,0,0,0,0.0,0.0,False
PCar,PCarLTL_V_10_866_PCar_fixed_2,0,0,0,0,0.0,0.0,False
PCar,PCarLTL_V_10_866_PCar_fixed_3,1,1,17,17,1.0,1.0,True
PCar,PCarLTL_V_10_866_PCar_fixed_4,0,0,0,0,0.0,0.0,False
PCar,PCarLTL_V_20_868_PCar_fixed_1,0,0,0,0,0.0,0.0,False
PCar,PCarLTL_V_20_868_PCar_fixed_2,0,0,0,0,0.0,0.0,False
PCar,PcarLTL_394_PCar_1,1,1,8,8,1.0,1.0,True
PCar,PcarLTL_463_PCar_1,1,1,8,8,1.0,1.0,True
PCar,PcarLTL_464_PCar_fixed_1,1,1,10,10,1.0,1.0,True
PCar,PcarLTL_552_PCar_1,0,0,0,0,0.0,0.0,False
PCar,PcarLTL_553_PCar_1,0,0,0,0,0.0,0.0,False
PCar,PcarLTL_758_PCar_fixed_1,1,1,14,14,1.0,1.0,True
PCar,PcarLTL_758_PCar_fixed_2,1,1,14,14,1.0,1.0,True
PCar,PcarLTL_763_PCar_fixed_1,1,1,13,13,1.0,1.0,True
PCar,PcarLTL_811_PCar_fixed_1,0,0,0,0,0.0,0.0,False
PCar,PcarLTL_811_PCar_fixed_2,0,0,0,0,0.0,0.0,False
PCar,PcarLTL_811_PCar_fixed_3,1,1,17,17,1.0,1.0,True
PCar,PcarLTL_811_PCar_fixed_4,0,0,0,0,0.0,0.0,False
PCar,PcarLTL_820_PCar_fixed_1,1,1,18,18,1.0,1.0,True
PCar,PcarLTL_820_PCar_fixed_2,1,1,19,19,1.0,1.0,True
PCar,PcarLTL_830_PCar_fixed_1,1,1,20,20,1.0,1.0,True
PCar,PcarLTL_830_PCar_fixed_2,1,1,21,21,1.0,1.0,True
PCar,PcarLTL_856_PCar_fixed_1,0,0,0,0,0.0,0.0,False
PCar,PcarLTL_856_PCar_fixed_2,0,0,0,0,0.0,0.0,False
PCar,PcarLTL_857_PCar_fixed_1,0,0,0,0,0.0,0.0,False
PCar,PcarLTL_857_PCar_fixed_2,0,0,0,0,0.0,0.0,False
PCar,PcarLTL_860_PCar_fixed_1,1,1,24,24,1.0,1.0,True
PCar,PcarLTL_860_PCar_fixed_2,1,1,22,22,1.0,1.0,True
