Specification,NumRepairs
PcarLTL_463_PCar_1,1
PcarLTL_464_PCar_fixed_1,1
PcarLTL_552_PCar_1,0
PcarLTL_553_PCar_1,0
PcarLTL_758_PCar_fixed_1,1
PcarLTL_758_PCar_fixed_2,0
PcarLTL_763_PCar_fixed_1,0
PcarLTL_811_PCar_fixed_1,0
PcarLTL_811_PCar_fixed_2,0
PcarLTL_811_PCar_fixed_3,0
PcarLTL_811_PCar_fixed_4,0
PcarLTL_820_PCar_fixed_1,0
PcarLTL_820_PCar_fixed_2,0
PcarLTL_830_PCar_fixed_1,0
PcarLTL_830_PCar_fixed_2,0
PcarLTL_856_PCar_fixed_1,0
PcarLTL_856_PCar_fixed_2,0
PcarLTL_857_PCar_fixed_1,0
PcarLTL_857_PCar_fixed_2,0
PcarLTL_860_PCar_fixed_1,0
PcarLTL_860_PCar_fixed_2,0
