System,Specification,NumRepairs,MinNumVariables,MaxNumVariables,Repaired
ColorSort,ColorSortLTL3_688_ColorSort_fixed_2,0,0,0,False
ColorSort,ColorSortLTL3_688_ColorSort_fixed_3,0,0,0,False
ColorSort,ColorSortLTL3_688_ColorSort_fixed_4,1,0,0,True
ColorSort,ColorSortLTL3_688_ColorSort_fixed_5,0,0,0,False
ColorSort,ColorSortLTL3_688_ColorSort_fixed_6,0,0,0,False
ColorSort,ColorSortLTL3_688_ColorSort_fixed_7,0,0,0,False
ColorSort,ColorSortLTLTAG_788_ColorSort_1,0,0,0,False
ColorSort,ColorSortLTLTAG_788_ColorSort_2,1,0,0,True
ColorSort,ColorSortLTLTAG_788_ColorSort_3,1,0,0,True
ColorSort,ColorSortLTLTAG_792_ColorSort_1,0,0,0,False
ColorSort,ColorSortLTLTAG_792_ColorSort_2,0,0,0,False
ColorSort,ColorSortLTLTAG_792_ColorSort_3,0,0,0,False
Gyro,GyroLTLVar2_701_GyroAspect_fixed_1,1,0,0,True
Gyro,GyroLTLVar2_701_GyroAspect_fixed_2,0,0,0,False
Gyro,GyroLTLVar2_701_GyroAspect_fixed_3,0,0,0,False
Gyro,GyroLTLVar3_702_GyroAspect_1,1,0,0,True
Gyro,GyroLTLVar3_702_GyroAspect_2,0,0,0,False
Gyro,GyroLTLVar3_702_GyroAspect_3,0,0,0,False
Gyro,GyroLTLVar3_702_GyroAspect_4,1,0,0,True
Gyro,GyroLTLVar3_702_GyroAspect_5,0,0,0,False
Gyro,GyroLTL_390_GyroAspect_1,1,0,0,True
Gyro,GyroLTL_390_GyroAspect_2,0,0,0,False
Gyro,GyroLTL_390_GyroAspect_3,0,0,0,False
Gyro,GyroLTL_390_GyroAspect_4,1,0,0,True
Gyro,GyroLTL_486_GyroAspect_1,2,0,0,True
Gyro,GyroLTL_486_GyroAspect_2,0,0,0,False
Gyro,GyroLTL_486_GyroAspect_3,0,0,0,False
Gyro,GyroLTL_486_GyroAspect_4,1,0,0,True
Gyro,GyroLTL_588_GyroAspect_1,2,0,0,True
Gyro,GyroLTL_588_GyroAspect_2,1,0,0,True
Gyro,GyroLTL_588_GyroAspect_3,0,0,0,False
Gyro,GyroLTL_588_GyroAspect_4,1,0,0,True
Gyro,GyroLTL_590_GyroAspect_1,2,0,0,True
Gyro,GyroLTL_590_GyroAspect_2,0,0,0,False
Gyro,GyroLTL_590_GyroAspect_3,0,0,0,False
Gyro,GyroLTL_590_GyroAspect_4,2,0,0,True
Gyro,GyroLTL_590_GyroAspect_5,2,0,0,True
Gyro,GyroLTL_595_GyroAspect_fixed_1,2,0,0,True
Gyro,GyroLTL_595_GyroAspect_fixed_2,0,0,0,False
Gyro,GyroLTL_595_GyroAspect_fixed_3,0,0,0,False
Gyro,GyroLTL_595_GyroAspect_fixed_4,2,0,0,True
Gyro,GyroLTL_637_GyroAspect_fixed_1,0,0,0,False
Gyro,GyroLTL_637_GyroAspect_fixed_2,0,0,0,False
Gyro,GyroLTL_637_GyroAspect_fixed_3,2,0,0,True
Gyro,GyroLTL_700_GyroAspect_fixed_1,0,0,0,False
Gyro,GyroLTL_700_GyroAspect_fixed_2,0,0,0,False
Gyro,GyroLTL_700_GyroAspect_fixed_3,2,0,0,True
Humanoid,HumanoidLTLVar3_872_Humanoid_1,2,0,0,True
Humanoid,HumanoidLTLVar3_872_Humanoid_2,1,0,0,True
Humanoid,HumanoidLTL_460_Humanoid_1,3,0,0,True
Humanoid,HumanoidLTL_462_Humanoid_1,1,0,0,True
Humanoid,HumanoidLTL_533_Humanoid_1,1,0,0,True
Humanoid,HumanoidLTL_533_Humanoid_2,0,0,0,False
Humanoid,HumanoidLTL_556_Humanoid_1,0,0,0,False
Humanoid,HumanoidLTL_556_Humanoid_2,1,0,0,True
Humanoid,HumanoidLTL_743_Humanoid_1,0,0,0,False
Humanoid,HumanoidLTL_743_Humanoid_2,1,0,0,True
Humanoid,HumanoidLTL_747_Humanoid_1,2,0,0,True
Humanoid,HumanoidLTL_747_Humanoid_2,1,0,0,True
Humanoid,HumanoidLTL_747_Humanoid_3,1,0,0,True
Humanoid,HumanoidLTL_750_Humanoid_1,2,0,0,True
Humanoid,HumanoidLTL_750_Humanoid_2,0,0,0,False
Humanoid,HumanoidLTL_776_Humanoid_1,2,0,0,True
Humanoid,HumanoidLTL_776_Humanoid_2,1,0,0,True
Humanoid,HumanoidLTL_776_Humanoid_3,1,0,0,True
Humanoid,HumanoidLTL_776_Humanoid_4,1,0,0,True
Humanoid,HumanoidLTL_776_Humanoid_5,1,0,0,True
Humanoid,HumanoidLTL_874_Humanoid_1,2,0,0,True
Humanoid,HumanoidLTL_874_Humanoid_2,0,0,0,False
Humanoid,HumanoidLTL_874_Humanoid_3,0,0,0,False
Humanoid,HumanoidLTL_874_Humanoid_4,1,0,0,True
Humanoid,HumanoidLTL_874_Humanoid_5,1,0,0,True
PCar,PCarLTL_Unrealizable_V_20_882_PCar_fixed_1,0,0,0,False
PCar,PCarLTL_V_10_866_PCar_fixed_1,0,0,0,False
PCar,PCarLTL_V_10_866_PCar_fixed_2,0,0,0,False
PCar,PCarLTL_V_10_866_PCar_fixed_3,0,0,0,False
PCar,PCarLTL_V_10_866_PCar_fixed_4,0,0,0,False
PCar,PCarLTL_V_20_868_PCar_fixed_1,0,0,0,False
PCar,PCarLTL_V_20_868_PCar_fixed_2,0,0,0,False
PCar,PcarLTL_394_PCar_1,0,0,0,False
PCar,PcarLTL_463_PCar_1,0,0,0,False
PCar,PcarLTL_464_PCar_fixed_1,2,0,0,True
PCar,PcarLTL_552_PCar_1,0,0,0,False
PCar,PcarLTL_553_PCar_1,0,0,0,False
PCar,PcarLTL_758_PCar_fixed_1,1,0,0,True
PCar,PcarLTL_758_PCar_fixed_2,0,0,0,False
PCar,PcarLTL_763_PCar_fixed_1,0,0,0,False
PCar,PcarLTL_811_PCar_fixed_1,0,0,0,False
PCar,PcarLTL_811_PCar_fixed_2,0,0,0,False
PCar,PcarLTL_811_PCar_fixed_3,1,0,0,True
PCar,PcarLTL_811_PCar_fixed_4,0,0,0,False
PCar,PcarLTL_820_PCar_fixed_1,1,0,0,True
PCar,PcarLTL_820_PCar_fixed_2,1,0,0,True
PCar,PcarLTL_830_PCar_fixed_1,1,0,0,True
PCar,PcarLTL_830_PCar_fixed_2,0,0,0,False
PCar,PcarLTL_856_PCar_fixed_1,0,0,0,False
PCar,PcarLTL_856_PCar_fixed_2,0,0,0,False
PCar,PcarLTL_857_PCar_fixed_1,0,0,0,False
PCar,PcarLTL_857_PCar_fixed_2,0,0,0,False
PCar,PcarLTL_860_PCar_fixed_1,0,0,0,False
PCar,PcarLTL_860_PCar_fixed_2,0,0,0,False
