Specification,NumRepairs,MinNumVariables,Repaired
HumanoidLTL_747_Humanoid_3,1,14,True
HumanoidLTL_750_Humanoid_1,1,4,True
HumanoidLTL_750_Humanoid_2,1,17,True
HumanoidLTL_776_Humanoid_1,1,2,True
HumanoidLTL_776_Humanoid_2,1,31,True
HumanoidLTL_776_Humanoid_3,1,28,True
HumanoidLTL_776_Humanoid_4,1,19,True
HumanoidLTL_776_Humanoid_5,1,19,True
HumanoidLTL_874_Humanoid_1,1,2,True
HumanoidLTL_874_Humanoid_2,1,31,True
HumanoidLTL_874_Humanoid_3,1,28,True
HumanoidLTL_874_Humanoid_4,1,19,True
HumanoidLTL_874_Humanoid_5,1,19,True
PCarLTL_Unrealizable_V_20_882_PCar_fixed_1,1,20,True
PCarLTL_V_10_866_PCar_fixed_1,0,0,False
PCarLTL_V_10_866_PCar_fixed_2,0,0,False
PCarLTL_V_10_866_PCar_fixed_3,1,30,True
PCarLTL_V_10_866_PCar_fixed_4,0,0,False
PCarLTL_V_20_868_PCar_fixed_1,0,0,False
PCarLTL_V_20_868_PCar_fixed_2,0,0,False
PcarLTL_394_PCar_1,1,13,True
PcarLTL_463_PCar_1,1,13,True
PcarLTL_464_PCar_fixed_1,1,15,True
PcarLTL_552_PCar_1,0,0,False
PcarLTL_553_PCar_1,0,0,False
PcarLTL_758_PCar_fixed_1,1,20,True
PcarLTL_758_PCar_fixed_2,1,21,True
PcarLTL_763_PCar_fixed_1,1,20,True
PcarLTL_811_PCar_fixed_1,0,0,False
PcarLTL_811_PCar_fixed_2,0,0,False
PcarLTL_811_PCar_fixed_3,1,30,True
PcarLTL_811_PCar_fixed_4,0,0,False
PcarLTL_820_PCar_fixed_1,1,35,True
PcarLTL_820_PCar_fixed_2,1,19,True
PcarLTL_830_PCar_fixed_1,1,33,True
PcarLTL_830_PCar_fixed_2,1,19,True
PcarLTL_856_PCar_fixed_1,0,0,False
PcarLTL_856_PCar_fixed_2,0,0,False
PcarLTL_857_PCar_fixed_1,0,0,False
PcarLTL_857_PCar_fixed_2,0,0,False
PcarLTL_860_PCar_fixed_1,1,21,True
PcarLTL_860_PCar_fixed_2,1,44,True
